sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
ERR4835448	38204	25204	24885	24944	24070	23277
ERR4836298	44156	31619	31028	31080	29633	27881
ERR4836299	24064	18137	17757	17839	16832	16083
ERR4836300	16105	12289	12011	12051	11212	10748
ERR4836301	23242	17485	17430	17412	17178	17161
ERR4836302	15398	11237	11006	10980	10392	9986
ERR4836303	22242	16704	16625	16630	16491	16443
ERR4836304	26845	21578	21474	21483	21252	21170
ERR4836305	16646	12808	12742	12747	12600	12597
ERR4836306	31562	23773	23348	23504	22691	21407
ERR4836307	36510	27664	27371	27330	26409	25247
ERR4836308	34192	30878	30631	30663	30152	29742
ERR4836309	23743	19560	19268	19211	18545	17964
ERR4836310	17655	14798	14306	14495	13289	11903
ERR4836311	21373	16639	16450	16483	16163	15987
ERR4836312	32956	24270	23868	24000	23023	22306
ERR4836313	40540	28905	28432	28568	27156	26037
ERR4836314	37161	26825	26160	26329	24136	21943
ERR4836333	25846	19571	19045	19185	17863	16540
ERR4836334	32704	25257	24859	24908	24005	23484
ERR4836335	4021	3112	3054	3045	2899	2899
ERR4836336	30479	17660	17356	17338	15731	15165
ERR4836337	42396	21460	21293	21087	19871	19871
ERR4836338	30905	26347	25995	26076	25418	24679
ERR4836339	42491	35293	34892	34907	33909	33149
ERR4836340	46035	29266	28939	28896	26662	25838
ERR4836341	216	63	26	2	2	2
ERR4836342	125	15	1	1	0	0
ERR4836343	37632	23090	22729	22690	21199	20960
ERR4836344	36774	32464	32124	32232	31432	31091
ERR4836345	74299	58185	57100	57340	53261	46387
ERR4836346	39449	35575	35226	35239	34547	33906
ERR4836347	33032	28969	28437	28548	27572	26135
ERR4836348	79927	63112	61942	62226	57651	49752
ERR4836349	37662	29082	28664	28738	27735	27497
ERR4836350	43916	35534	35082	35100	33986	33063
ERR4836351	30132	22883	22207	22325	20778	19514
ERR4836352	13660	9993	9460	9502	8361	7505
ERR4836353	44923	35601	35065	35229	33590	29946
ERR4836354	1222	1052	994	980	917	917
ERR4836355	34334	31033	30759	30780	30291	29630
ERR4836356	30547	27413	27051	27075	26334	25299
ERR4836357	23726	21223	21006	21060	20672	20252
ERR4836358	37167	33905	33611	33643	33000	31166
ERR4836359	46115	40686	40320	40391	39538	37780
ERR4836360	28069	24833	24456	24503	23901	23544
ERR4836361	39580	35928	35667	35717	35139	34128
ERR4836362	23883	17358	16820	17007	15436	13782
ERR4836363	24600	18148	17525	17706	16029	14477
ERR4836364	36284	26708	26339	26387	25407	25143
ERR4836365	34009	24749	24502	24455	23374	22888
ERR4836366	24834	17817	17396	17490	16380	15725
ERR4836367	17179	12169	11687	11774	10652	10204
ERR4836368	32613	22406	21837	21896	20451	19982
ERR4836369	29071	21842	21158	21248	20116	19530
ERR4836370	31537	20768	20321	20398	18829	18090
ERR4836371	27880	20604	20016	20037	18636	16721
ERR4836372	30563	22337	21695	21912	20477	19287
ERR4836373	47282	32649	32287	32381	29656	27582
ERR4836374	32521	23540	23400	23375	22081	21684
ERR4836375	30823	23149	22667	22782	21420	20430
ERR4836376	47894	34733	34400	34420	32288	31098
ERR4836377	14774	10930	10717	10768	10167	9629
ERR4836378	7759	5970	5804	5826	5493	5174
ERR4836379	24172	18159	17920	17994	17398	17332
ERR4836380	18501	13532	13255	13271	12344	10512
ERR4836381	35196	26364	26059	26160	25289	23322
ERR4836382	60	30	18	13	13	13
ERR4836383	32626	22404	22181	22229	21505	21117
ERR4836384	54631	40295	39655	39830	37452	33681
ERR4836385	35784	23305	23021	23019	21595	20424
