task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	7d/9decf9	3348626	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836455)	COMPLETED	0	2023-09-17 21:28:26.820	22.2s	66ms	49.6%	0	0	92 KB	908 B
20	ec/f9fc65	3348674	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836422)	COMPLETED	0	2023-09-17 21:28:26.886	33.6s	26ms	138.8%	0	0	92 KB	894 B
14	e0/52484d	3348635	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836501)	COMPLETED	0	2023-09-17 21:28:26.843	41.2s	26ms	114.3%	0	0	92 KB	894 B
21	f0/eec24c	3348824	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836343)	COMPLETED	0	2023-09-17 21:28:26.976	41.1s	30ms	112.5%	2.9 MB	3.9 MB	92 KB	894 B
9	c8/5d1b68	3348651	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836424)	COMPLETED	0	2023-09-17 21:28:26.866	45.5s	188ms	29.4%	3 MB	7.8 MB	92 KB	893 B
24	4b/03db34	3348702	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836396)	COMPLETED	0	2023-09-17 21:28:26.906	45.5s	29ms	105.1%	0	0	92 KB	894 B
4	fd/2758f1	3348778	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836490)	COMPLETED	0	2023-09-17 21:28:26.953	45.4s	42ms	98.6%	2.8 MB	3.9 MB	92 KB	893 B
15	2f/88374f	3348848	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836313)	COMPLETED	0	2023-09-17 21:28:26.998	53.1s	417ms	13.7%	4.8 MB	7.8 MB	92 KB	893 B
16	b2/02bfa1	3348880	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836484)	COMPLETED	0	2023-09-17 21:28:27.021	59.8s	27ms	116.1%	0	0	92 KB	894 B
11	b7/5a84f2	3348755	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836301)	COMPLETED	0	2023-09-17 21:28:26.934	1m 2s	80ms	66.7%	4 MB	7.4 MB	92 KB	893 B
8	1d/c39236	3350588	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836468)	COMPLETED	0	2023-09-17 21:28:49.111	46.2s	42ms	94.1%	2.9 MB	3.9 MB	92 KB	893 B
7	b4/818082	3351170	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836351)	COMPLETED	0	2023-09-17 21:29:00.549	41s	27ms	129.7%	0	0	92 KB	894 B
6	a5/2dd295	3351647	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4835448)	COMPLETED	0	2023-09-17 21:29:08.061	36.2s	273ms	20.3%	4.7 MB	7.8 MB	92 KB	893 B
10	98/aa3758	3351652	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836494)	COMPLETED	0	2023-09-17 21:29:08.080	44.4s	149ms	35.6%	3 MB	7.8 MB	92 KB	893 B
17	8d/e0d498	3351807	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836489)	COMPLETED	0	2023-09-17 21:29:12.396	51s	27ms	126.3%	2.9 MB	3.9 MB	92 KB	894 B
25	29/025533	3351832	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836346)	COMPLETED	0	2023-09-17 21:29:12.491	53.3s	28ms	126.3%	0	0	92 KB	894 B
5	f8/9f687a	3353223	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836622)	COMPLETED	0	2023-09-17 21:29:20.112	45.7s	161ms	38.4%	3.1 MB	7.8 MB	92 KB	893 B
12	0d/16dab7	3351810	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836360)	COMPLETED	0	2023-09-17 21:29:12.442	53.5s	133ms	44.9%	4.7 MB	7.8 MB	92 KB	893 B
19	b5/c8b6ed	3353808	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836353)	COMPLETED	0	2023-09-17 21:29:28.941	48.3s	25ms	110.1%	0	0	92 KB	894 B
13	8b/b045de	3353754	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836449)	COMPLETED	0	2023-09-17 21:29:26.888	50.4s	87ms	56.7%	4.5 MB	7.8 MB	92 KB	893 B
22	5b/d07eb2	3354281	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836309)	COMPLETED	0	2023-09-17 21:29:35.283	47.5s	28ms	116.1%	0	0	92 KB	894 B
2	3b/30bab7	3354598	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836352)	COMPLETED	0	2023-09-17 21:29:41.615	47.5s	29ms	136.6%	0	0	92 KB	894 B
23	cc/070e18	3354801	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836487)	COMPLETED	0	2023-09-17 21:29:44.304	45.1s	29ms	27.3%	2.8 MB	3.9 MB	92 KB	893 B
18	e2/ad8d7f	3355487	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836464)	COMPLETED	0	2023-09-17 21:29:52.530	38.3s	142ms	42.6%	2.9 MB	7.8 MB	92 KB	893 B
26	9b/f9225b	3356040	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836298)	COMPLETED	0	2023-09-17 21:30:03.424	41.2s	50ms	84.2%	2.7 MB	3.9 MB	92 KB	893 B
29	41/3a9cdd	3356201	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836448)	COMPLETED	0	2023-09-17 21:30:05.915	39s	88ms	62.2%	3 MB	7.8 MB	92 KB	893 B
27	22/a9332d	3356136	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836341)	COMPLETED	0	2023-09-17 21:30:05.815	49.9s	94ms	60.2%	4.8 MB	7.8 MB	92 KB	893 B
28	f1/0b919b	3356148	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836438)	COMPLETED	0	2023-09-17 21:30:05.851	50.2s	30ms	113.4%	0	0	92 KB	894 B
32	36/660f7d	3356762	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836388)	COMPLETED	0	2023-09-17 21:30:17.339	43s	75ms	70.3%	2.8 MB	3.9 MB	92 KB	893 B
30	a3/09b709	3356734	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERR4836361)	COMPLETED	0	2023-09-17 21:30:17.245	50.5s	30ms	128.2%	2.9 MB	3.9 MB	92 KB	894 B
